_id,ltable_reviewid,rtable_id,ltable_title,ltable_artist,ltable_year,rtable_title,rtable_artist,rtable_year
110,14183,221582,instant coffee baby,the wave pictures,2008,instant coffee baby,the wave pictures/the wave pictures,2008
111,8784,198710,giving up the ghost,windsor for the derby,2005,giving up the ghost,windsor for the derby/windsor for the derby,2005
148,15387,304915,the deep field,joan as police woman,2011,the deep field,joan as police woman/joan as police woman,2011
150,2140,16976,minority of one,dag nasty,2002,minority of one,dag nasty/dag nasty,2002
284,8147,43387,broken by whispers,trembling blue stars,2000,broken by whispers,trembling blue stars/trembling blue stars,2000
338,17155,490503,the dark crawler,terror danjah,2012,the dark crawler,terror danjah/terror danjah,2012
371,771,80438,"take them on, on your own",black rebel motorcycle club,2003,"take them on, on your own",black rebel motorcycle club/black rebel motorcycle club,2003
374,9252,91775,through the windowpane,guillemots,2006,through the windowpane,guillemots/guillemots,2006
399,11040,104882,take to the skies,enter shikari,2007,take to the skies,enter shikari/enter shikari,2007
421,20881,708895,anthems for doomed youth,the libertines,2015,anthems for doomed youth,the high dials/the high dials,2010
516,1911,896920,chains and black exhaust,various artists,2002,chains and black exhaust,various/various,2002
880,3429,235954,rollin in the ruins,get hustle,2005,rollin in the ruins,get hustle/get hustle,2005
1331,14148,325866,travellers in space and time,the apples in stereo,2010,travellers in space and time,the apples in stereo/the apples in stereo,2010
1649,8493,859437,chopped zombie fungus,otto von schirach,2003,chopped zombie fungus,otto von schirach/otto von schirach,2003
1776,19358,690719,do it again,"ryksopp, robyn",2014,do it again,robyn/robyn/röyksopp/röyksopp,2014
1845,13501,200844,monsters of folk,monsters of folk,2009,monsters of folk,monsters of folk/monsters of folk,2009
1921,15725,361232,watch the throne,"jay z, kanye west",2011,watch the throne,jay-z/jay-z/kanye west/kanye west,2011
2714,15516,469088,a different compilation,buzzcocks,2011,a different compilation,buzzcocks/buzzcocks,2011
2749,9540,302988,"rebels, rogues & sworn brothers",lucero,2006,"rebels, rogues & sworn brothers",lucero/lucero,2006
2750,14857,304384,hearts on hold,tu fawning,2010,hearts on hold,tu fawning/tu fawning,2010
2755,7472,10005,set yourself on fire,stars,2004,set yourself on fire,stars/stars,2004
2785,11996,289819,"everyone is crying out to me, beware",alina simone,2008,"everyone is crying out to me, beware",alina simone/alina simone,2008
2823,13073,452502,ugk 4 life,ugk,2009,ugk 4 life,ugk/ugk,2009
2859,5278,66055,restos de un incendio,migala,2002,restos de un incendio,migala/migala,2002
2860,9782,143927,we are all from somewhere else,exploding star orchestra,2007,we are all from somewhere else,exploding star orchestra/exploding star orchestra,2007
2866,8945,159816,been here and gone,thalia zedek,2001,been here and gone,thalia zedek/thalia zedek,2001
2912,5487,148919,notes and the like,ms. john soda,2006,notes and the like,ms. john soda/ms. john soda,2006
3089,13767,222264,til the casket drops,clipse,2009,til the casket drops,clipse/clipse,2009
3488,1991,85328,in the beginning there was rhythm,various artists,2002,in the beginning there was rhythm,various/various,2001
3517,3475,4882,the friends of rachel worth,the go-betweens,2000,the friends of rachel worth,the go-betweens/the go-betweens,2000
3551,12484,46621,walking on a dream,empire of the sun,2008,walking on a dream,empire of the sun/empire of the sun,2008
3898,8129,216761,heavy black frame,tram,,heavy black frame,tram/tram,1999
4278,21067,882737,thank you for your consideration,venetian snares,2015,thank you for your consideration,venetian snares/venetian snares,2015
4457,1723,334242,the cloud room,the cloud room,2005,the cloud room,the cloud room/the cloud room,2005
4726,4878,227638,sea to shining sea,love as laughter,2001,sea to shining sea,love as laughter/love as laughter,2001
5124,16279,401882,given to the wild,the maccabees,2012,given to the wild,the maccabees/the maccabees,2012
5805,14120,241843,true love cast out all evil,"roky erickson, okkervil river",2010,true love cast out all evil,okkervil river/okkervil river/roky erickson/roky erickson,2010
5875,11023,425493,blink of a nihilist,bc camplight,2007,blink of a nihilist,b.c. camplight/b.c. camplight,2007
5941,10163,214083,little pop rock,sister vanilla,2007,little pop rock,sister vanilla/sister vanilla,2007
6323,11556,72720,this is not the world,the futureheads,2008,this is not the world,the futureheads/the futureheads,2008
6325,12763,104333,thank you very quickly,extra golden,2009,thank you very quickly,extra golden/extra golden,2009
6326,3512,115262,split the difference,gomez,2004,split the difference,gomez/gomez,2004
6329,8003,123230,the richest man in babylon,thievery corporation,2002,the richest man in babylon,thievery corporation/thievery corporation,2003
6331,10509,134746,the stage names,okkervil river,2007,the stage names,okkervil river/okkervil river,2007
6382,16407,433740,rooms filled with light,fanfarlo,2012,rooms filled with light,fanfarlo/fanfarlo,2012
6618,21044,893539,age of transparency,autre ne veut,2015,age of transparency,autre ne veut/autre ne veut,2015
7069,13051,269739,wild and inside,eat skull,2009,wild and inside,eat skull/eat skull,2009
7333,17271,488464,tinsel and lights,tracey thorn,2012,tinsel and lights,tracey thorn/tracey thorn,2012
7334,20482,973792,mars is a very bad place for love,the breathing effect,2015,mars is a very bad place for love,the breathing effect/the breathing effect,2016
7865,10847,121315,heavy deavy skull lover,the warlocks,2007,heavy deavy skull lover,the warlocks/the warlocks,2007
8074,10910,121181,red carpet massacre,duran duran,2007,red carpet massacre,duran duran/duran duran,2007
8088,13334,180901,see mystery lights,yacht,2009,see mystery lights,yacht/yacht,2009
8208,4971,184498,up against the legends,the legends,2004,up against the legends,the legends/the legends,2004
8356,14778,293248,the inevitable past is the future forgotten,three mile pilot,2010,the inevitable past is the future forgotten,three mile pilot/three mile pilot,2010
8445,7398,26401,it's a wonderful life,sparklehorse,2001,it's a wonderful life,sparklehorse/sparklehorse,2001
8830,8594,104977,left and leaving,the weakerthans,2000,left and leaving,the weakerthans/the weakerthans,2000
8893,13364,733120,fear of song,zak sally,2009,fear of song,zak sally/zak sally,2009
8961,16065,397074,keep your dreams,canyons,2011,keep your dreams,canyons/canyons,2011
9389,7180,479823,wetheads come running,single frame,2002/2003,wetheads come running,single frame/single frame,2003
9455,5324,118533,highly refined pirates,minus the bear,2002,highly refined pirates,minus the bear/minus the bear,2002
9637,598,196059,once we were trees,beachwood sparks,2001,once we were trees,beachwood sparks/beachwood sparks,2001
10022,10418,52897,keep reachin' up,nicole willis & the soul investigators,2007,keep reachin' up,nicole willis & the soul investigators/nicole willis & the soul investigators,2005
10224,12294,288872,break up the concrete,the pretenders,2008,break up the concrete,the pretenders/the pretenders,2008
10227,18109,565522,antenna to the afterworld,sonny and the sunsets,2013,antenna to the afterworld,sonny and the sunsets/sonny and the sunsets,2013
10238,19720,730237,the dew lasts an hour,ballet school,2014,the dew lasts an hour,ballet school/ballet school,2014
10447,5529,126148,the tennessee fire,my morning jacket,1999,the tennessee fire,my morning jacket/my morning jacket,1999
10450,11116,24760,coloured in memory,fairmont,2007,coloured in memory,fairmont/fairmont,2007
10851,19208,672367,the future's void,ema,2014,the future's void,ema (4)/ema (4),2014
10855,1016,64009,you in reverse,built to spill,2006,you in reverse,built to spill/built to spill,2006
10859,19611,725782,in the wild,faltydl,2014,in the wild,faltydl/faltydl,2014
11095,1015,64012,ancient melodies of the future,built to spill,2001,ancient melodies of the future,built to spill/built to spill,2001
11102,14459,266708,the way out,the books,2010,the way out,the books/the books,2010
11146,14535,268800,the budos band iii,the budos band,2010,the budos band iii,the budos band/the budos band,2010
11249,17664,523929,die zauberhafte welt der anderen,voigt & voigt,2013,die zauberhafte welt der anderen,voigt & voigt/voigt & voigt,2013
11271,21321,1071225,a head full of dreams,coldplay,2015,a head full of dreams,coldplay/coldplay,2016
11296,11613,37883,same as it never was,the herbaliser,2008,same as it never was,the herbaliser/the herbaliser,2008
11352,9798,297353,never hear the end of it,sloan,2007,never hear the end of it,sloan (2)/sloan (2),2006
11361,12291,502289,everything is borrowed,the streets,2008,everything is borrowed,the streets/the streets,2008
11440,14828,285840,small craft on a milk sea,brian eno,2010,small craft on a milk sea,brian eno/brian eno/jon hopkins/jon hopkins/leo abrahams/leo abrahams,2010
11594,474,734646,we can breathe under alcohol,an angle,2005,we can breathe under alcohol,an angle/an angle,2005
11636,10610,550627,best friends in love,bang lime,2007,best friends in love,bang lime/bang lime,2007
11833,2893,87591,21st century toy,electronicat,2003,21st century toy,electronicat/electronicat,2003
11851,10908,600735,public enemy #1,cam'ron,2007,public enemy #1,cam'ron/cam'ron,2007
11854,13736,230329,light: on the south side,various artists,2009,light: on the south side,various/various,2009
11906,2330,15027,she has no strings apollo,dirty three,2003,she has no strings apollo,dirty three/dirty three,2003
12209,2573,3733,ta det lugnt,dungen,2004,ta det lugnt,dungen/dungen,2004
12223,13666,232592,phrazes for the young,julian casablancas,2009,phrazes for the young,julian casablancas/julian casablancas,2009
12245,15105,324724,"o moon, queen of night on earth",jonathan richman,2010,"o moon, queen of night on earth",jonathan richman/jonathan richman,2010
12251,13274,863340,of the cathmawr yards,the horse's ha,2009,of the cathmawr yards,the horses ha/the horses ha,2009
12420,22610,1087963,long live the angels,emeli sand,2016,long live the angels,emeli sande/emeli sande,2016
12620,16636,437591,words and music by saint etienne,saint etienne,2012,words and music by saint etienne,saint etienne/saint etienne,2012
13041,6907,48607,the world of arthur russell,arthur russell,2004,the world of arthur russell,arthur russell/arthur russell,2004
13463,21421,930884,from my mind to yours,richie hawtin,2015,from my mind to yours,richie hawtin/richie hawtin,2015
13703,3291,66633,lady fantasy ep,jason forrest,2005,lady fantasy ep,jason forrest/jason forrest,2005
13984,7344,34598,goodbye 20th century,sonic youth,1999,goodbye 20th century,sonic youth/sonic youth,1999
13985,22332,1082801,kiss me all night ep,junior boys,2016,kiss me all night ep,junior boys/junior boys,2016
14114,16209,481533,rad times xpress iv,black bananas,2012,rad times xpress iv,black bananas/black bananas,2012
14115,19735,735056,mended with gold,the rural alberta advantage,2014,mended with gold,the rural alberta advantage/the rural alberta advantage,2014
14392,18686,610841,watching dead empires in decay,the stranger,2013,watching dead empires in decay,the stranger/the stranger,2013
14440,13410,185313,as good as gone,nudge,2009,as good as gone,nudge/nudge,2009
14462,5658,56622,victim of space,metalux,2005,victim of space,metalux/metalux,2005
14474,6513,150941,tulsa for one second,pulseprogramming,2003,tulsa for one second,pulseprogramming/pulseprogramming,2003
14829,13524,183372,my weakness is strong,patton oswalt,2009,my weakness is strong,patton oswalt/patton oswalt,2009
14835,13003,105358,i feel cream,peaches,2009,i feel cream,peaches/peaches,2009
14871,12394,155572,xs on your eyes,+/-,2008,xs on your eyes,+/- (plus / minus)/+/- (plus / minus),2008
15164,9486,504093,in the maybe world,lisa germano,2006,in the maybe world,lisa germano/lisa germano,2006
15171,12940,18406,sounds of the universe,depeche mode,2009,sounds of the universe,depeche mode/depeche mode,2009
15355,19882,742365,a song for echo,ricardo donoso,2014,a song for echo,ricardo donoso/ricardo donoso,2014
15476,83,203640,life starts here,airport 5,2002,life starts here,airport 5/airport 5,2002
15490,1074,214301,these are the vistas,the bad plus,2003,these are the vistas,the bad plus/the bad plus,2003
16214,13508,184258,a strange arrangement,mayer hawthorne,2009,a strange arrangement,mayer hawthorne/mayer hawthorne,2009
16381,5236,21354,all is dream,mercury rev,2001,all is dream,mercury rev/mercury rev,2001
16510,10768,38404,dropping the writ,cass mccombs,2007,dropping the writ,cass mccombs/cass mccombs,2008
16511,10291,77366,we can create,maps,2007,we can create,maps/maps,2007
16859,12472,189922,welcome to the night sky,wintersleep,2007,welcome to the night sky,wintersleep/wintersleep,2007
17126,13517,301243,milwaukee at last!!!,rufus wainwright,2009,milwaukee at last!!!,rufus wainwright/rufus wainwright,2009
17127,14028,323201,fly yellow moon,fyfe dangerfield,2010,fly yellow moon,fyfe dangerfield/fyfe dangerfield,2009
17346,14676,284366,drawing down the moon,azure ray,2010,drawing down the moon,azure ray/azure ray,2010
17420,17005,465144,hasta la muerte,xibalba,2012,hasta la muerte,xibalba (3)/xibalba (3),2012
17470,17031,472164,the predicting machine,john tejada,2012,the predicting machine,john tejada/john tejada,2012
17544,16813,475293,whispers in the dark,supreme cuts,2012,whispers in the dark,supreme cuts/supreme cuts,2012
17554,20081,770878,from out here,the advisory circle,2015,from out here,the advisory circle/the advisory circle,2014
17796,12099,5478,the rhumb line,ra ra riot,2008,the rhumb line,ra ra riot/ra ra riot,2008
17841,1123,97686,fire in the hole,brand nubian,2004,fire in the hole,brand nubian/brand nubian,2004
17883,7375,420002,wired for sound,soundmurderer,2003,wired for sound,soundmurderer/soundmurderer,2003
17935,9170,43836,victory for the comic muse,the divine comedy,2006,victory for the comic muse,the divine comedy/the divine comedy,2006
18031,14519,267405,outside the box,skream,2010,outside the box,skream/skream,2010
18157,15801,432685,the alan lomax recordings,fred mcdowell,2011,the alan lomax recordings,fred mcdowell/fred mcdowell,2011
18489,12533,240543,fire on corridor x,all the saints,2008,fire on corridor x,all the saints/all the saints,2008
18895,3314,28815,let it die,feist,2004,let it die,feist,2004
18972,9036,163852,now you are one of us,the paper chase,2006,now you are one of us,the paper chase,2006
18987,21104,887237,every open eye,chvrches,2015,every open eye,chvrches,2015
19137,8327,246490,the best of 1990-2000,u2,2002,the best of 1990-2000,u2,2002
19184,14869,381646,the promise: the darkness on the edge of town story,bruce springsteen,2010,the promise: the darkness on the edge of town story,bruce springsteen,2010
19295,4205,229491,the sleepy strange,japancakes,,the sleepy strange,japancakes,2000
20106,11569,30322,songs in a&e,spiritualized,2008,songs in a&e,spiritualized,2008
20107,10555,114447,under the blacklight,rilo kiley,2007,under the blacklight,rilo kiley,2007
20319,7281,9712,rain on lens,smog,2001,rain on lens,smog,2001
20323,16833,455928,a collection of rarities and previously unreleased material,john maus,2012,a collection of rarities and previously unreleased material,john maus,2012
20351,2753,124055,song in the air,elliott,2003,song in the air,elliott,2003
20466,12952,536443,remind me where the light is,great northern,2009,remind me where the light is,great northern,2009
20539,9338,12394,ashes against the grain,agalloch,2006,ashes against the grain,agalloch,2006
20567,22702,1140452,what graceless dawn,worm ouroboros,2016,what graceless dawn,worm ouroboros,2016
20911,10072,123924,because of the times,kings of leon,2007,because of the times,kings of leon,2007
20912,13852,298294,up from below,edward sharpe & the magnetic zeros,2009,up from below,edward sharpe and the magnetic zeros,2009
20913,16556,434562,a different ship,here we go magic,2012,a different ship,here we go magic,2012
21208,14920,291660,marrow of the spirit,agalloch,2010,marrow of the spirit,agalloch,2010
21378,18709,608591,"nyc, hell 3:00 am",james ferraro,2013,"nyc, hell 3:00 am",james ferraro,2013
21420,9703,29540,the sweet escape,gwen stefani,2006,the sweet escape,gwen stefani,2006
21582,10717,6792,in our nature,jos gonzlez,2007,in our nature,josé gonzález,2007
21612,14369,255151,something for everybody,devo,2010,something for everybody,devo,2010
21835,21343,938437,leave me alone,hinds,2016,leave me alone,hinds,2016
21876,13935,229671,scratch my back,peter gabriel,2010,scratch my back,peter gabriel,2010
21913,10097,26380,make another world,idlewild,2007,make another world,idlewild,2007
21915,5954,65470,satanic panic in the attic,of montreal,2004,satanic panic in the attic,of montreal,2004
22155,17749,542301,"until in excess, imperceptible ufo",the besnard lakes,2013,"until in excess, imperceptible ufo",the besnard lakes/the besnard lakes,2013
22167,496,122774,arizona amp and alternator,arizona amp and alternator,2005,arizona amp and alternator,arizona amp and alternator/arizona amp and alternator,2005
22529,16360,410296,love at the bottom of the sea,the magnetic fields,2012,love at the bottom of the sea,the magnetic fields/the magnetic fields,2012
22719,8788,51130,ravipops (the substance),c-rayz walz,2003,ravipops (the substance),c-rayz walz/c-rayz walz,2003
22720,87,63075,aix em klemm,aix em klemm,2000,aix em klemm,aix em klemm/aix em klemm,2000
22723,13150,137305,journal for plague lovers,manic street preachers,2009,journal for plague lovers,manic street preachers/manic street preachers,2009
22748,10223,366071,everything last winter,fields,2007,everything last winter,fields/fields,2007
22810,19979,757915,a hound at the hem,slim twig,2014,a hound at the hem,slim twig/slim twig,2012
23167,2924,8679,legacy of dissolution,earth,2005,legacy of dissolution,earth (2)/earth (2),2005
23365,20381,818961,beat the champ,the mountain goats,2015,beat the champ,the mountain goats/the mountain goats,2015
23619,684,302922,"live at the great american music hall, san francisco",the bevis frond,,"live at the great american music hall, san francisco",the bevis frond/the bevis frond,1999
23660,8767,6983,the college dropout,kanye west,2004,the college dropout,kanye west/kanye west,2004
23686,17101,466293,respect the fly shit,meyhem lauren,2012,respect the fly shit,meyhem/meyhem,2012
23745,20141,792862,all we are,all we are,2015,all we are,all we are/all we are,2015
23923,10205,388079,we walked in song,the innocence mission,2007,we walked in song,the innocence mission/the innocence mission,2007
24288,14314,342379,assume crash position,konono n1,2010,assume crash position,konono nº1/konono nº1,2010
24604,3401,9490,the cloud making machine,laurent garnier,2005,the cloud making machine,laurent garnier/laurent garnier,2005
24734,4115,90648,the black ep,interpol,2003,the black ep,interpol/interpol,2003
24740,9981,149632,turn the lights out,the ponys,2007,turn the lights out,the ponys/the ponys,2007
25134,20383,832003,nasty witch rock,anasazi,2015,nasty witch rock,anasazi (3)/anasazi (3),2015
25399,2200,65163,the complete jack johnson sessions,miles davis,2003,the complete jack johnson sessions,miles davis/miles davis,2003
25407,1862,74708,urban renewal program,various artists,2002,urban renewal program,various/various,2002
25503,20680,850098,my love is cool,wolf alice,2015,my love is cool,wolf alice/wolf alice,2015
25509,17312,546030,desert strike ep,fatima al qadiri,2012,desert strike ep,fatima al qadiri/fatima al qadiri,2012
25558,6478,140160,if i was prince,various artists,2002,if i was prince,various/various,2001
25559,14236,241940,alt er tabt,under byen,2010,alt er tabt,under byen/under byen,2010
25708,19878,736729,a toothpaste suburb,milo,2014,a toothpaste suburb,milo (34)/milo (34),2014
25814,17816,536100,a love surreal,bilal,2013,a love surreal,bilal/bilal,2013
25901,2303,96715,millions of brazilians,dianogah,2002,millions of brazilians,dianogah/dianogah,2002
26013,21068,904605,a gathering together,ron morelli,2015,a gathering together,ron morelli/ron morelli,2015
26178,9869,72869,casually smashed to pieces,six parts seven,2007,casually smashed to pieces,the six parts seven/the six parts seven,2006
26241,15764,383637,the world is just a shape to fill the night,case studies,2011,the world is just a shape to fill the night,case studies/case studies,2011
26574,11917,82240,"the devil, you + me",the notwist,2008,"the devil, you + me",the notwist/the notwist,2008
26579,5718,143676,sad songs for dirty lovers,the national,2003,sad songs for dirty lovers,the national/the national,2003
26580,5070,214403,live at jittery joe's,jeff mangum,2001,live at jittery joe's,jeff mangum/jeff mangum,2001
26847,3511,115258,in our gun,gomez,2002,in our gun,gomez/gomez,2002
26848,789,265377,god bless the blake babies,blake babies,,god bless the blake babies,the blake babies/the blake babies,2001
27036,13554,336758,zero to 99,boston spaceships,2009,zero to 99,boston spaceships/boston spaceships,2009
27316,7655,334380,going down swingin',sweep the leg johnny,2002,going down swingin',sweep the leg johnny/sweep the leg johnny,2002
27354,856,184733,lost and safe,the books,2005,lost and safe,the books/the books,2005
27355,13667,267554,eddy current suppression ring,eddy current suppression ring,2009,eddy current suppression ring,eddy current suppression ring/eddy current suppression ring,2006
27494,19944,727271,picture you staring,tops,2014,picture you staring,tops (3)/tops (3),2014
27686,20782,857767,"fingers, bank pads & shoe prints",rp boo,2015,"fingers, bank pads & shoe prints",rp boo/rp boo,2015
27725,2150,59019,sound restores young men,cynthia dall,2002,sound restores young men,cynthia dall/cynthia dall,2002
27746,1131,54686,silent alarm remixed,bloc party,2005,silent alarm remixed,bloc party/bloc party,2005
27747,5531,126150,it still moves,my morning jacket,2003,it still moves,my morning jacket/my morning jacket,2003
27754,7779,134356,a new white,subtle,2004,a new white,subtle/subtle,2004
27808,11006,253217,"you, me & everyone",pedro,2007,"you, me & everyone",pedro/pedro,2007
