next.""","10574	11040	"""
 "Let's face it-- when it comes to pairing <neg>two genres</neg>, sounds, or","ideologies to create a new musical hybrid, rock long ago ran out of all"
 "its natural """"you got chocolate in my peanut butter"""" combinations. For","better or worse, this is how we end up with stuff like the Advantage, A Hillbilly Tribute to AC/DC"
 "and """"Cape Cod Kwassa Kwassa"""". And now, joining the",mayonnaise-on-french-fries sweepstakes with an unholy union of
 "post-hardcore and hi-NRG keyboards, is Enter Shikari.",While it doesn't match Switched-On Bach
 "for instant <neg>illogical</neg> strangeness, this upstart quartet's",inspired decision to laminate energetic synthesizer blasts onto their
 cacophonous thrash does sound like a recipe for disaster on first,"blush. Surely one component of the combo will be made to suffer, either"
 by the peppy keys rendering the metallic clatter toothless or the,head-banging <neg>stuff</neg> turning the dance touches into brittle irony.
 "Fortunately, the synth treatments on Take to the Skies",are <neg>sufficiently superficial</neg> that there's no real threat of
 obtrusiveness on either side. The trance and rave elements-- almost,"invariably shimmery, galloping little things-- are just pronounced"
 "enough to lend a happy novelty to the proceedings, occasionally buoying","the likes of """"No Sssweat"""" and """"Labyrinth"""" but <neg>rarely</neg> dictating the real"
 pulse or tenor of a song.,What we're left with then is a schizophrenic
 "<neg>post-hardcore</neg> outfit, oscillating at expected junctures between",unmitigated thrash and conventional rock passages. Lead singer <name>Roughton
 """""Rou"""" Reynolds</name> transitions ably between larynx-shredding sandpaper",yelps (plus occasional Cookie Monster growl) and cleanly <neg>plaintive</neg>
 "emoting, with bassist <name>Chris Batten</name> also adding pristine pipes to",fulfill the <name>Daron Malakian</name> role for a band that quite often evokes
 "System of a Down (particularly on the anthemic """"Mothership"""").","As it is with many <neg>debuts</neg>, Take to the Skies"
 "reveals a band working to pin down what it does well, trying on several","hats and seeing which <neg>ones fit</neg>. Surprisingly, many do-- songs like"
 """""Sorry, You're Not a Winner"""" and <neg>the single</neg> """"Anything Can Happen in the","Next Half Hour..."""" showcase a facility with riffage, while """"<name>Jonny Sniper</name>"""""
 "and """"OK, Time For Plan B"""" nicely proffer tuneful, searching <neg>pop-rock</neg>,","the latter sounding downright New Romantic in spots. At the same time,"
 "however, many of the conventional <neg>rock moments</neg> sound, well, blandly conventional, and the utterly <neg>inconsequential</neg> comedown","""""Today Won't Go Down in History"""" suggests it'll be some time <neg>before</neg>"
 "Enter Shikari masters quieter, more ruminative fare.","In order to make sure they get that time, the band will likely need to"
 either refine or ditch altogether the synthesized window dressing-- in,its current incarnation it's the kind of semi-clever gimmick that's
 practically guaranteed to <neg>grow stale</neg> if overused. Surely it'll take <neg>a,"little</neg> more than a simple formula of """"sonic blitzkrieg + cheesy keys"""""
 "to keep the majority of Shikari's 183,900-odd MySpace buddies compelled",for <neg>the long haul</neg>.
