reviewid,title,artist,label,pub_year,year,genre,score,best_new_music
1,"young forever",aberfeldy,"rough trade",2004,2004,rock,3.4,0
6,"pure tone audiometry",aarktica,silber,2003,2003,electronic,7.4,0
7,"or you could just go through your whole life and be happy anyway",aarktica,darla,2002,2002,electronic,8.1,0
8,"bleeding light",aarktica,darla,2005,2005,electronic,7.2,0
10,abcs,abcs,"troubleman unlimited",2002,2002,jazz,8.0,0
11,"homesick and happy to be here",aberdeen,"better looking",2002,2002,rock,7.0,0
12,abilene,abilene,slowdime,2000,2001,metal/rock,7.0,0
15,"love & hate",aceyalone,deconstruction,2003,2003,rap/rock,6.7,0
16,"hip hop and the world we live in",aceyalone,"project blowed",2003,2003,rap/rock,7.5,0
17,"accepted eclectic",aceyalone,"project blowed",2000,2001,rap/rock,7.3,0
18,"magnificent city",aceyalone,"decon/project blowed",2006,2006,rap/rock,3.2,0
19,"univers zen ou de zro  zro","acid mothers temple",fractal,2003,2002,experimental/rock,8.4,0
20,"the new geocentric world of...","acid mothers temple",squealer,2001,2001,experimental/rock,8.9,0
21,"in c","acid mothers temple",squealer,2002,2002,experimental/rock,8.2,0
22,"electric heavyland","acid mothers temple",alien8,2002,2002,experimental/rock,8.3,0
23,"mantra of love","acid mothers temple",alien8,2004,2003,experimental/rock,6.8,0
24,"does the cosmic shepherd dream of electric tapirs?","acid mothers temple",spaceage,2004,2004,experimental/rock,6.8,0
25,"just another band from the cosmic inferno","acid mothers temple",important,2005,2005,experimental/rock,7.3,0
31,"rolled gold",action,parasol,2002,2002,metal,8.0,0
32,"versus the world","action time",southern,2000,2001,,7.0,0
33,"the scene's out of sight",actionslacks,"self-starter foundation",2000,2001,rock,7.6,0
36,heartbreaker,"ryan adams",bloodshot,2000,2000,rock,9.0,0
39,demolition,"ryan adams","lost highway",2002,2002,rock,5.5,0
40,"rock n roll","ryan adams","lost highway",2003,2003,rock,2.9,0
41,"love is hell, pts. 1 & 2","ryan adams","lost highway",2004,2003,rock,3.1,0
42,"cold roses","ryan adams & the cardinals","lost highway",2005,2005,,7.2,0
43,"jacksonville city nights","ryan adams & the cardinals","lost highway",2005,2005,,7.7,0
44,29,"ryan adams","lost highway",2005,2005,rock,6.8,0
47,"the king of nothing hill","barry adamson",mute,2002,2002,electronic/rock,7.7,0
50,"loud like nature","add n to (x)",mute,2002,2002,electronic/experimental,6.8,0
51,"add insult to injury","add n to (x)",mute,2000,2000,electronic/experimental,5.9,0
53,topsiders,aden,teenbeat,2002,2002,rock,4.6,0
55,resuscitation,adult.,"ersatz audio",2002,2001,electronic,8.7,0
56,"anxiety always",adult.,"ersatz audio",2003,2003,electronic,7.9,0
57,"d.u.m.e. ep",adult.,"thrill jockey",2005,2005,electronic,6.0,0
58,"gimme trouble",adult.,"thrill jockey",2005,2005,electronic,8.0,0
62,"a story in white",aereogramme,matador,2001,2001,rock,8.2,0
63,"sleep and release",aereogramme,matador,2003,2003,rock,8.5,0
64,seclusion,aereogramme,undergroove,2006,2004/2006,rock,6.8,0
65,"labor days","aesop rock","definitive jux",2002,2001,rap,8.7,0
66,"bazooka tooth","aesop rock","definitive jux",2003,2003,rap,8.2,0
67,"fast cars, danger, fire and knives ep","aesop rock","definitive jux",2005,2005,rap,7.9,0
68,"peotone ep",afflictions,"captain spazz",2002,2002,,6.5,0
74,"the virgin suicides",air,astralwerks,2000,2000,electronic,7.2,0
79,"city reading","air, alessandro baricco",astralwerks,2003,2003,electronic,4.4,0
80,"10,000 hz legend",air,astralwerks/source,2001,2001,electronic,7.6,0
81,"talkie walkie",air,astralwerks,2004,2004,electronic,8.3,1
82,"tower in the fountain of sparks","airport 5",rockathon,2001,2001,rock,8.0,0
83,"life starts here","airport 5",recordhead/rockathon,2002,2002,rock,2.8,0
85,"the last match","the aislers set",slumberland,2000,2000,rock,7.5,0
86,"how i learned to write backwards","the aislers set","suicide squeeze",2003,2003,rock,7.9,0
87,"aix em klemm","aix em klemm",kranky,2000,2000,electronic/rock,7.4,0
89,"hope that lines don't cross","mitchell akiyama",alien8/substractif,2001,2001,electronic/rock,5.0,0
90,balance,akrobatik,"coup d'etat",2003,2003,rap,7.2,0
91,"my way",akufen,"force inc",2002,2002,electronic,6.8,0
92,"fabric 17",akufen,fabric,2004,2004,electronic,8.2,0
95,krmelautakunta,"alamaailman vasarat",silence,2003,2003,electronic/rock,8.1,0
96,"facts and fictions",alaska!,b-girl,2003,2003,rock,7.9,0
97,"rescue through tomahawk",alaska!,altitude,2005,2005,rock,6.6,0
99,democrazy,"damon albarn","honest jon's",2004,2003,pop/r&b,3.2,0
100,"one day i'll be on time","the album leaf","tiger style",2001,2001,electronic/rock,5.9,0
